# Time	S	X1	X2	X3	X4	X5	X6	P1	P2	Compartments[compartment]	Values[Keq]	Values[Km_sp]	Values[Vf]	Values[MAR1]	Values[MAR2]	Values[MAR3]	Values[MAR4]	Values[MAR5]	Values[MAR6]	Values[MAR7]	Values[MAR8]	Values[dG1]	Values[dG2]	Values[dG4]	Values[dG5]	Values[dG6]	Values[dG7]	Values[dG8]	Values[dG3]	
230	1142.58	378.154	115.509	70.3921	39.8168	52.1541	73.2803	19.0589	29.0382	1	1	50	100	0.330966	0.305455	0.609408	0.565644	0.478665	0.451515	1.40507	0.396262	-2.73036	-2.92843	-1.40696	-1.81924	-1.96342	0.839771	-2.28574	-1.22294	
235	1149.12	379.903	115.892	70.5917	39.9094	52.306	73.4274	19.0919	29.0754	1	1	50	100	0.330602	0.305056	0.609118	0.565356	0.478381	0.451336	1.40381	0.395975	-2.73307	-2.93165	-1.40822	-1.8207	-1.9644	0.83754	-2.28753	-1.22412	
240	1155.43	381.585	116.259	70.7833	39.9982	52.4518	73.5684	19.1235	29.1111	1	1	50	100	0.330253	0.304674	0.608841	0.56508	0.47811	0.451163	1.40259	0.395701	-2.73568	-2.93475	-1.40942	-1.8221	-1.96535	0.835403	-2.28924	-1.22524	
245	1161.52	383.205	116.612	70.9672	40.0834	52.5918	73.7036	19.1538	29.1452	1	1	50	100	0.329918	0.304307	0.608575	0.564816	0.477849	0.450998	1.40143	0.395438	-2.73819	-2.93772	-1.41058	-1.82345	-1.96625	0.833354	-2.29088	-1.22632	
250	1167.38	384.765	116.952	71.1439	40.1652	52.7263	73.8333	19.1829	29.178	1	1	50	100	0.329597	0.303956	0.608319	0.564563	0.4776	0.450839	1.40031	0.395187	-2.74059	-2.94057	-1.41168	-1.82474	-1.96712	0.83139	-2.29245	-1.22736	
255	1173.04	386.267	117.278	71.3136	40.2436	52.8555	73.9577	19.2107	29.2093	1	1	50	100	0.329288	0.303618	0.608074	0.564319	0.47736	0.450686	1.39924	0.394946	-2.74291	-2.94332	-1.41275	-1.82598	-1.96796	0.829505	-2.29396	-1.22835	
260	1178.5	387.715	117.592	71.4767	40.319	52.9796	74.0772	19.2374	29.2394	1	1	50	100	0.328991	0.303294	0.607839	0.564086	0.47713	0.450539	1.39822	0.394715	-2.74513	-2.94595	-1.41377	-1.82717	-1.96876	0.827696	-2.2954	-1.22931	
265	1183.76	389.109	117.893	71.6335	40.3914	53.099	74.1919	19.2631	29.2682	1	1	50	100	0.328706	0.302983	0.607612	0.563862	0.47691	0.450398	1.39724	0.394493	-2.74727	-2.94849	-1.41475	-1.82831	-1.96954	0.825959	-2.29679	-1.23023	
270	1188.84	390.453	118.184	71.7843	40.461	53.2138	74.3021	19.2877	29.2959	1	1	50	100	0.328432	0.302684	0.607395	0.563647	0.476699	0.450263	1.39629	0.394281	-2.74933	-2.95093	-1.41569	-1.8294	-1.97028	0.824292	-2.29812	-1.23111	
275	1193.74	391.749	118.463	71.9293	40.5278	53.3242	74.408	19.3113	29.3225	1	1	50	100	0.328169	0.302396	0.607186	0.56344	0.476496	0.450132	1.39539	0.394077	-2.75132	-2.95327	-1.4166	-1.83045	-1.971	0.82269	-2.2994	-1.23196	
280	1198.47	392.998	118.733	72.0688	40.5921	53.4305	74.5098	19.3341	29.348	1	1	50	100	0.327915	0.30212	0.606985	0.563241	0.476301	0.450007	1.39452	0.393881	-2.75322	-2.95553	-1.41747	-1.83146	-1.97168	0.82115	-2.30063	-1.23278	
285	1203.04	394.202	118.992	72.2031	40.654	53.5327	74.6076	19.3559	29.3725	1	1	50	100	0.327672	0.301854	0.606792	0.56305	0.476113	0.449886	1.39368	0.393693	-2.75506	-2.9577	-1.41831	-1.83244	-1.97235	0.81967	-2.3018	-1.23357	
290	1207.45	395.363	119.241	72.3324	40.7135	53.6311	74.7017	19.3769	29.396	1	1	50	100	0.327437	0.301599	0.606606	0.562866	0.475933	0.44977	1.39288	0.393512	-2.75683	-2.95979	-1.41911	-1.83337	-1.97298	0.818247	-2.30294	-1.23432	
295	1211.71	396.484	119.482	72.4568	40.7707	53.7259	74.7923	19.397	29.4186	1	1	50	100	0.327211	0.301353	0.606427	0.56269	0.475759	0.449658	1.39211	0.393338	-2.75853	-2.96181	-1.41989	-1.83427	-1.9736	0.816879	-2.30403	-1.23505	
300	1215.82	397.565	119.713	72.5767	40.8258	53.8172	74.8794	19.4165	29.4404	1	1	50	100	0.326994	0.301116	0.606254	0.56252	0.475593	0.449551	1.39137	0.393171	-2.76017	-2.96375	-1.42064	-1.83514	-1.97419	0.815562	-2.30508	-1.23575	
305	1219.79	398.607	119.936	72.6921	40.8788	53.9051	74.9632	19.4351	29.4613	1	1	50	100	0.326785	0.300889	0.606089	0.562356	0.475433	0.449447	1.39065	0.393011	-2.76175	-2.96562	-1.42135	-1.83597	-1.97476	0.814295	-2.30609	-1.23643	
310	1223.62	399.614	120.152	72.8033	40.9299	53.9898	75.0439	19.4531	29.4815	1	1	50	100	0.326583	0.300669	0.605929	0.562199	0.475278	0.449347	1.38997	0.392856	-2.76328	-2.96742	-1.42205	-1.83677	-1.97531	0.813076	-2.30706	-1.23708	
315	1227.32	400.585	120.359	72.9105	40.9791	54.0714	75.1217	19.4704	29.5008	1	1	50	100	0.326389	0.300458	0.605775	0.562047	0.47513	0.449251	1.38931	0.392708	-2.76474	-2.96915	-1.42271	-1.83754	-1.97583	0.811902	-2.30799	-1.23771	
320	1230.9	401.522	120.559	73.0138	41.0265	54.1501	75.1965	19.4871	29.5195	1	1	50	100	0.326202	0.300255	0.605627	0.561901	0.474987	0.449158	1.38867	0.392565	-2.76616	-2.97082	-1.42335	-1.83828	-1.97634	0.810771	-2.30889	-1.23831	
325	1234.36	402.427	120.752	73.1133	41.0722	54.2259	75.2686	19.5031	29.5374	1	1	50	100	0.326021	0.300059	0.605484	0.561761	0.474849	0.449069	1.38806	0.392427	-2.76752	-2.97244	-1.42397	-1.839	-1.97684	0.809682	-2.30976	-1.23889	
330	1237.7	403.301	120.938	73.2093	41.1162	54.299	75.3381	19.5185	29.5547	1	1	50	100	0.325848	0.29987	0.605347	0.561625	0.474717	0.448983	1.38747	0.392294	-2.76884	-2.97399	-1.42457	-1.83969	-1.97731	0.808633	-2.31059	-1.23945	
335	1240.92	404.145	121.117	73.3019	41.1586	54.3695	75.4051	19.5334	29.5714	1	1	50	100	0.32568	0.299688	0.605214	0.561495	0.474589	0.4489	1.3869	0.392167	-2.77011	-2.97549	-1.42514	-1.84035	-1.97777	0.807623	-2.31139	-1.23999	
340	1244.04	404.959	121.29	73.3912	41.1995	54.4375	75.4696	19.5478	29.5874	1	1	50	100	0.325519	0.299513	0.605086	0.561369	0.474466	0.44882	1.38635	0.392044	-2.77134	-2.97694	-1.42569	-1.84099	-1.97821	0.806649	-2.31217	-1.24052	
